mcc,description,category
4214,"Motor Freight Carriers, Moving and Storage Companies, Trucking - Local/Long Distance, Delivery Services - Local",Transportation
4215,"Courier Services - Air or Ground, Freight forwarders",Transportation
4225,"Public warehousing, Storage",Transportation
4411,Cruise and Steamship Lines,Transportation
4457,Boat Rentals and Leases,Transportation
4468,"Marinas, Marine Service, and Supplies",Transportation
4511,"Airlines, Air Carriers (not listed elsewhere)",Transportation
4582,"Airports, Airport Terminals, Flying Fields",Transportation
4722,Travel Agencies and Tour Operations,Transportation
4723,Package Tour Operators (For use in Germany only),Transportation
4784,Toll and Bridge Fees,Transportation
4789,"Transportation Services, Not elsewhere classified)",Transportation
4812,Telecommunications Equipment including telephone sales,Utilities
4814,"Fax services, Telecommunication Services",Utilities
4815,VisaPhone,Utilities
4816,Computer Network Services,Utilities
4821,Telegraph services,Utilities
4829,Money Orders - Wire Transfer,Utilities
4899,Cable and other pay television (previously Cable Services),Utilities
4900,"Electric, Gas, Sanitary and Water Utilities",Utilities
5013,Motor vehicle supplies and new parts,Retail outlets
5021,Office and Commercial Furniture,Retail outlets
5031,Motor vehicle parts,Retail outlets
5039,"Construction Materials, Not Elsewhere Classified",Retail outlets
5044,"Office, Photographic, Photocopy, and Microfilm Equipment",Retail outlets
